,query,facet,question,reference,t5-candidate,ru-candidate,answer1,answer2,answer3,answer4
2,best long term care insurance,what companies offer long term care insurance policies?,do you think the best long term care insurance is right for you,i need companies that offer long term care insurance,no i want to know what companies offer long term care insurance policies,no i want to know what companies offer long term care insurance policies,what companies offer long term care insurance policies?,no i want to know what companies offer long term care insurance policies,no i want to know what companies offer long term care insurance policies,i need companies that offer long term care insurance
3,universal animal cuts reviews,sites that sell universal animal cuts that include product reviews.,did universal animal cuts work for you,no i am looking for reviews on their products,no i want to know about sites that sell universal animal cuts that include product reviews,no i am looking for sites that sell universal animal cuts that include product reviews,no i want to know about sites that sell universal animal cuts that include product reviews,no i am looking for reviews on their products,sites that sell universal animal cuts that include product reviews.,no i am looking for sites that sell universal animal cuts that include product reviews
4,rice,find biographical information about former secretary of state condoleeza rice.,are you looking for a specific recipe,no i need to know the history of condoleeze rice,no i want to know about condoleeza rice,no i want biographical information about condoleeza rice,no i want biographical information about condoleeza rice,no i want to know about condoleeza rice,find biographical information about former secretary of state condoleeza rice.,no i need to know the history of condoleeze rice
5,rock and gem shows,information on clubs that host rock and gem shows,would you like to learn about rock and gem shows in california,no i am looking for the clubs that host the shows,no i want to know about clubs that host rock and gem shows,yes i would like to know about clubs that host rock and gem shows,information on clubs that host rock and gem shows,yes i would like to know about clubs that host rock and gem shows,no i am looking for the clubs that host the shows,no i want to know about clubs that host rock and gem shows
6,source of the nile,"how to play the board game \""source of the nile\""",which nile are you interested in learning about,nile the boar game,i want to learn about the nile board game,the source of the nile,i want to learn about the nile board game,"how to play the board game \""source of the nile\""",nile the boar game,the source of the nile
7,to be or not to be that is the question,"find a critical analysis of hamlet\'s \""to be or not to be\"" soliloquy.",are you referring to shakespear,yes hamlets soliloquy,no i want to find a critical analysis of hamlet soliloquy,no i want a critical analysis of hamlet soliloquy,yes hamlets soliloquy,no i want a critical analysis of hamlet soliloquy,no i want to find a critical analysis of hamlet soliloquy,"find a critical analysis of hamlet\'s \""to be or not to be\"" soliloquy."
8,vanuatu,find a map of the islands of vanuatu.,do you want to know the history,no i just need a map of the islands,no i want to find a map of the islands of vanuatu,no i want a map of the islands of vanuatu,no i just need a map of the islands,no i want a map of the islands of vanuatu,no i want to find a map of the islands of vanuatu,find a map of the islands of vanuatu.
9,hobby stores,what hobby stores carry trains?,are you looking for coupons,no i need to find hobby stores that have trains,no i want to know what hobby stores carry trains,no i want to know what hobby stores carry trains,no i want to know what hobby stores carry trains,no i want to know what hobby stores carry trains,what hobby stores carry trains?,no i need to find hobby stores that have trains
10,cheap internet,i want to find cheap dsl providers.,are you looking for information on any specific internet technology,yes i want to find inexpensive dsl providers,no i want to find cheap dsl providers,no i want to find cheap dsl providers,no i want to find cheap dsl providers,i want to find cheap dsl providers.,no i want to find cheap dsl providers,yes i want to find inexpensive dsl providers
11,university of phoenix,find homepages of faculty members at the university of phoenix.,are you interested in comparing university of phoenix with other universities in any specific aspect,no i want to know about the faculty,no i want to find homepages of faculty members at the university of phoenix,no i am looking for faculty members at the university of phoenix,no i want to know about the faculty,no i am looking for faculty members at the university of phoenix,no i want to find homepages of faculty members at the university of phoenix,find homepages of faculty members at the university of phoenix.
12,iron,find sites where i can buy iron supplements.,are you trying to determine whats a safe amount of iron in your blood,no i want to know where to get iron supplements,no i want to buy iron supplements,no i want to buy iron supplements,no i want to buy iron supplements,no i want to buy iron supplements,find sites where i can buy iron supplements.,no i want to know where to get iron supplements
13,joints,find information about joint pain and how to treat it.,are you speaking about the human body or a mechanical part,i am referring to human body joints as in bones,no i want information on joint pain and how to treat it,i want to know how to treat joint pain,find information about joint pain and how to treat it.,i want to know how to treat joint pain,no i want information on joint pain and how to treat it,i am referring to human body joints as in bones
14,source of the nile,"how to play the board game \""source of the nile\""",would you like to know what the nile is composed of,no,no i want to know how to play the board game,no i want to know how to play the board game,no,"how to play the board game \""source of the nile\""",no i want to know how to play the board game,no i want to know how to play the board game
15,gmat prep classes,what\'s the difference between the gre and the gmat?,would you like to know more about the gmat test,the difference between the gmat in the gre,no i want to know the difference between the gre and the gmat,no i want to know what is the difference between the gre and gmat,no i want to know what is the difference between the gre and gmat,the difference between the gmat in the gre,what\'s the difference between the gre and the gmat?,no i want to know the difference between the gre and the gmat
16,vanuatu,"find photos from the \""survivor 9, vanuatu\"" tv reality series.",are you looking to book a trip to vanuatu,no i am looking for pictures of the survivor 9 vanuatu tv reality series not in planning a trip there,no i want to see photos from the tv reality series,"no i want photos from the tv reality series survivor 9, vanuatu",no i want to see photos from the tv reality series,"find photos from the \""survivor 9, vanuatu\"" tv reality series.",no i am looking for pictures of the survivor 9 vanuatu tv reality series not in planning a trip there,"no i want photos from the tv reality series survivor 9, vanuatu"
17,idaho state flower,"find \""fun facts\"" about idaho: state flower, tree, bird, etc.",would you like to know how big they grow,yes and any other interesting facts that can be found,no i want to know about their size,"no idaho state flower, tree, bird",yes and any other interesting facts that can be found,no i want to know about their size,"no idaho state flower, tree, bird","find \""fun facts\"" about idaho: state flower, tree, bird, etc."
18,south africa,find pages that give the history of south africa.,would you like to see some pictures of south africa,no i would like to find the history of south africa,no i want to know about the history of south africa,no i want to know about the history of south africa,no i would like to find the history of south africa,no i want to know about the history of south africa,no i want to know about the history of south africa,find pages that give the history of south africa.
19,idaho state flower,"find \""fun facts\"" about idaho: state flower, tree, bird, etc.",are you looking for some fun facts,yes,yes i would like to know more about idaho state flower,"yes idaho state flower, tree bird",yes,"find \""fun facts\"" about idaho: state flower, tree, bird, etc.",yes i would like to know more about idaho state flower,"yes idaho state flower, tree bird"
20,wedding budget calculator,i want to find some example wedding budgets.,what is your projected budget for your wedding,this isnt relevant to my search,i want to find some examples of wedding budgets,i dont know,i want to find some examples of wedding budgets,i dont know,this isnt relevant to my search,i want to find some example wedding budgets.
21,arkansas,find information on colleges and universities in arkansas.,which city in arkansas are you interested in,i am not interested in a specific city in arkansas,i am interested in colleges and universities in arkansas,i am interested in colleges and universities in arkansas,find information on colleges and universities in arkansas.,i am interested in colleges and universities in arkansas,i am not interested in a specific city in arkansas,i am interested in colleges and universities in arkansas
22,kansas city mo,"what casinos are in kansas city, missouri?",are you interested in kansas city mo tourism,yes if it is casino specific,no i am interested in casinos in kansas city,no i want to know what casinos are in kansas city,yes if it is casino specific,no i am interested in casinos in kansas city,"what casinos are in kansas city, missouri?",no i want to know what casinos are in kansas city
23,wedding budget calculator,"i want to find online guides, tips, and checklists for planning a wedding.",would you like to find an app for wedding budgeting,no i want to find guides and tips,no i want to find online guides and tips for planning a wedding,no i want to find online guides and checklists for planning a wedding,"i want to find online guides, tips, and checklists for planning a wedding.",no i want to find online guides and tips for planning a wedding,no i want to find online guides and checklists for planning a wedding,no i want to find guides and tips
24,idaho state flower,"find \""fun facts\"" about idaho: state flower, tree, bird, etc.",do you want a crossword puzzle about idaho,no i am intereted on information about the state bird flower tree etc,no i want to know about the facts,"no i want information on state flower, tree, bird","no i want information on state flower, tree, bird",no i am intereted on information about the state bird flower tree etc,"find \""fun facts\"" about idaho: state flower, tree, bird, etc.",no i want to know about the facts
25,lipoma,what age group most often exhibits lipomas?,do you need treatment information for lipoma,no i need info on which groups exhibit lipomas most often,no i want to know what age group most often exhibits lipomas,no i want to know what age group most often exhibits lipomas,no i want to know what age group most often exhibits lipomas,no i want to know what age group most often exhibits lipomas,what age group most often exhibits lipomas?,no i need info on which groups exhibit lipomas most often
26,sonoma county medical services,"i am looking for more information about health care coverage for low-income residents ofsonoma county, ca.",would you like the different services that are provided,no im looking for coverage for lowincome people,no i want to know more about health care coverage for low income residents ofsonoma county ca,no i want to know about health care coverage for lowincome residents ofsonoma county ca,no i want to know more about health care coverage for low income residents ofsonoma county ca,no im looking for coverage for lowincome people,"i am looking for more information about health care coverage for low-income residents ofsonoma county, ca.",no i want to know about health care coverage for lowincome residents ofsonoma county ca
27,civil right movement,find a timeline of the civil rights movement in the united states.,what would you like to know about the civil right movement,i would like a timeline of important events in the civil rights movement in the united states,i would like to know about the civil rights movement in the us,i would like a timeline of the civil rights movement,i would like a timeline of important events in the civil rights movement in the united states,i would like to know about the civil rights movement in the us,find a timeline of the civil rights movement in the united states.,i would like a timeline of the civil rights movement
28,joints,find an explanation of the different types of joints used in woodworking.,are you speaking about the human body or a mechanical part,im referring to the mechanical part,no i am talking about the different types of joints used in woodworking,i want to know about joints used in woodworking,im referring to the mechanical part,no i am talking about the different types of joints used in woodworking,find an explanation of the different types of joints used in woodworking.,i want to know about joints used in woodworking
29,pacific northwest laboratory,"career opportunities at pnl: what openings are currently available, what educational background is required, what prior experience is needed",is there any specific information that you would like to know about employment requirements at pnl,yes what openings are available and what educational background and experience are needed,no i want to know about the opportunities available at pnl,yes i would like to know about career opportunities at pnl,"career opportunities at pnl: what openings are currently available, what educational background is required, what prior experience is needed",no i want to know about the opportunities available at pnl,yes what openings are available and what educational background and experience are needed,yes i would like to know about career opportunities at pnl
30,used car parts,i\'m looking for online sites that sell car parts.,would you like directions to the nearest parts store,no i want an online store,no i want to find online sites that sell car parts,no i am looking for online sites that sell car parts,no i want to find online sites that sell car parts,no i am looking for online sites that sell car parts,i\'m looking for online sites that sell car parts.,no i want an online store
31,gmat prep classes,who are some companies that offer gmat prep classes?,are you looking for gmat prep classes near you,i am looking for which companies offer gmat prep classes in general,no i am looking for companies that offer gmat prep classes,no im looking for companies that offer gmat prep classes,no i am looking for companies that offer gmat prep classes,who are some companies that offer gmat prep classes?,no im looking for companies that offer gmat prep classes,i am looking for which companies offer gmat prep classes in general
32,used car parts,i want to find a salvage or junk yard.,are you looking for a specific web site,no,no i want to find a salvage or junk yard,yes i want to find a salvage or junk yard,no,i want to find a salvage or junk yard.,yes i want to find a salvage or junk yard,no i want to find a salvage or junk yard
33,cass county missouri,"historical facts about cass county, missouri.",which neighborhood in cass county are you interested in,i dont know,i am interested in historical facts about cass county missouri,i am interested in cass county missouri,i am interested in cass county missouri,i am interested in historical facts about cass county missouri,i dont know,"historical facts about cass county, missouri."
34,djs,how do i become a radio disc jockey?,are you looking for djs in your area,no i want to know how to become one,no i want to become a radio disc jockey,no i want to know how to become a radio disc jockey,no i want to know how to become one,no i want to know how to become a radio disc jockey,how do i become a radio disc jockey?,no i want to become a radio disc jockey
35,how to build a fence,what materials are best for building fences?,are you looking for companies to build a fence for you,i will be building the fence myself,no i want to know what materials are best for building a fence,no i want to know what materials are best for building a fence,no i want to know what materials are best for building a fence,what materials are best for building fences?,i will be building the fence myself,no i want to know what materials are best for building a fence
36,cheap internet,what are some low-cost broadband internet providers?,are you interested in lowcost internet providers,yes i am looking for some examples of lowcost isps,yes i would like to know what low cost broadband providers are,yes i am interested in low cost broadband internet providers,yes i am interested in low cost broadband internet providers,what are some low-cost broadband internet providers?,yes i would like to know what low cost broadband providers are,yes i am looking for some examples of lowcost isps
37,cass county missouri,"historical facts about cass county, missouri.",do you want to know about the schools in cass county missouri,no i want to know historical facts about cass county missouri not information about schools,no i want to know about the schools in cass county missouri,no i want historical facts about cass county missouri,no i want to know historical facts about cass county missouri not information about schools,no i want historical facts about cass county missouri,no i want to know about the schools in cass county missouri,"historical facts about cass county, missouri."
38,arkansas,show a map of arkansas.,are you looking for arkansas football,no i am looking for a map of arkansas,no i am looking for a map of arkansas,no i want a map of arkansas,show a map of arkansas.,no i want a map of arkansas,no i am looking for a map of arkansas,no i am looking for a map of arkansas
39,american military university,reviews and commentary on the quality of education received by students at american military university,are you wanting information about west point,no i am looking at american military university,no i want to know about the quality of education received by students at american military university,no i want reviews and commentary on the quality of education,no i want to know about the quality of education received by students at american military university,reviews and commentary on the quality of education received by students at american military university,no i want reviews and commentary on the quality of education,no i am looking at american military university
40,best long term care insurance,what are the different types of long term care insurance policies?,would you like to find out the different types of payment options for the best long term care insurance,no i want to know what are the different types of policies offered,no i want to know the different types of long term care insurance policies,yes i want to know the different types of long term care insurance policies,no i want to know the different types of long term care insurance policies,what are the different types of long term care insurance policies?,no i want to know what are the different types of policies offered,yes i want to know the different types of long term care insurance policies
41,quit smoking,how can hypnosis help someone quit smoking?,are you wondering if it is hard to quit smoking,no i want to know how hypnosis can help someone quit smoking,no i want to know how to help hypnosis help a smoker quit smoking,no i want to know how hypnosis can help people quit smoking,no i want to know how hypnosis can help people quit smoking,how can hypnosis help someone quit smoking?,no i want to know how hypnosis can help someone quit smoking,no i want to know how to help hypnosis help a smoker quit smoking
42,internet phone service,how much does internet phone service cost?,which internet phone service providers are you interested in,can you tell me the cost of all of them,i want to know how much internet phone service costs,i want to know how much internet phone service costs,i want to know how much internet phone service costs,can you tell me the cost of all of them,how much does internet phone service cost?,i want to know how much internet phone service costs
43,how to build a fence,find information about building a wooden fence.,are you looking for places to buy fencebuilding materials,no,no i want information on how to build a wooden fence,no i want information about building a wooden fence,no,find information about building a wooden fence.,no i want information about building a wooden fence,no i want information on how to build a wooden fence
44,keyboard reviews,find reviews of computer keyboards.,are you interested in electronic keyboard reviews,yes,no i want reviews of computer keyboards,yes i would like reviews of computer keyboards,no i want reviews of computer keyboards,yes,find reviews of computer keyboards.,yes i would like reviews of computer keyboards
45,forearm pain,what kinds of injuries or conditions can cause forearm pain?,are you having forearm pain,yes and im wondering what is causing it ,no i am looking for injuries or conditions that can cause forearm pain,yes i want to know what injuries or conditions can cause forearm pain,yes i want to know what injuries or conditions can cause forearm pain,no i am looking for injuries or conditions that can cause forearm pain,what kinds of injuries or conditions can cause forearm pain?,yes and im wondering what is causing it 
46,iron,find information about the element iron (fe).,are you looking to buy an iron for your clothes,no i need information about the element iron,no i want information about the element iron,no i want information on the element iron,no i want information about the element iron,find information about the element iron (fe).,no i need information about the element iron,no i want information on the element iron
47,idaho state flower,what is the state flower of idaho?,are you looking for some fun facts,give me the state flower of idaho,yes,no i want to know what the state flower is,no i want to know what the state flower is,yes,give me the state flower of idaho,what is the state flower of idaho?
48,how to build a fence,where can i buy materials for building a fence?,are you looking for instructions to build a fence,no i am looking for places to buy materials to build a fence,no i want to know where i can buy materials for building a fence,no i need materials for building a fence,no i want to know where i can buy materials for building a fence,no i need materials for building a fence,where can i buy materials for building a fence?,no i am looking for places to buy materials to build a fence
49,korean language,what are some common korean phrases?,are you looking for nearby classes,no i want to know what common phrases in the korean language are,no i want to know what common korean phrases are,no i am looking for common korean phrases,no i am looking for common korean phrases,no i want to know what common phrases in the korean language are,what are some common korean phrases?,no i want to know what common korean phrases are
50,espn sports,i\'m looking for information on nascar races.,do you want an espn sports schedule,no,no i want information on nascar races,no i want information on nascar races,no i want information on nascar races,no i want information on nascar races,no,i\'m looking for information on nascar races.
51,diversity,find free activities and materials for running a diversity training program in my office.,are you looking into diversity in hiring,looking for free diversity actities and materials in an office,no i want to know about free activities and materials for running a diversity training program in my office,no i want free activities and materials for running a diversity training program in my office,no i want free activities and materials for running a diversity training program in my office,no i want to know about free activities and materials for running a diversity training program in my office,find free activities and materials for running a diversity training program in my office.,looking for free diversity actities and materials in an office
52,raised gardens,what kind of wood should be used to build a raised garden bed?,is your request related to raised garden beds,yes,yes i would like to know what wood should be used to build a raised garden bed,yes what kind of wood should be used to build a raised garden bed,yes i would like to know what wood should be used to build a raised garden bed,yes,what kind of wood should be used to build a raised garden bed?,yes what kind of wood should be used to build a raised garden bed
53,flame designs,i\'m looking for flame design stencils.,are you looking for flame design tracers,no stencils,no i am looking for flame design stencils,no i am looking for flame design stencils,no i am looking for flame design stencils,no stencils,i\'m looking for flame design stencils.,no i am looking for flame design stencils
54,poem in your pocket day,find ideas for how to celebrate poem in your pocket day and national poetry month.,do you need printable poems,yes that would help me celebrate poem in your pocket day,no i need to know how to celebrate poem in your pocket day and national poetry month,no i want to celebrate a poem in your pocket day and national poetry month,no i need to know how to celebrate poem in your pocket day and national poetry month,no i want to celebrate a poem in your pocket day and national poetry month,find ideas for how to celebrate poem in your pocket day and national poetry month.,yes that would help me celebrate poem in your pocket day
55,to be or not to be that is the question,find famous quotes from shakespeare\'s plays.,are you referring to the philosopher aristotole,no im talking about shakespeare,no i am referring to the philosopher aristotole,no i am referring to shakespeares plays,find famous quotes from shakespeare\'s plays.,no im talking about shakespeare,no i am referring to shakespeares plays,no i am referring to the philosopher aristotole
56,lipoma,what are the treatments for malignant lipolysis?,are you referring to lipomassage,no malignant lipolysis or lipoma,no i am referring to malignant lipolysis,no im referring to malignant lipolysis,what are the treatments for malignant lipolysis?,no malignant lipolysis or lipoma,no im referring to malignant lipolysis,no i am referring to malignant lipolysis
57,mgb,find sites for mgb car owners and enthusiasts.,are you looking for mini gastric bypass surgery,no im looking for mgb car fan pages,no i am looking for sites for mgb car owners and enthusiasts,no i want to find sites for mgb car owners and enthusiasts,no im looking for mgb car fan pages,find sites for mgb car owners and enthusiasts.,no i am looking for sites for mgb car owners and enthusiasts,no i want to find sites for mgb car owners and enthusiasts
58,sonoma county medical services,"i\'m looking for the home page of the county medical services program (cmsp) of sonoma county, california.",are you interested in the human services department,no i just need the homepage of county medical services program sonoma california,no i am interested in the home page of the county medical services program,no i am looking for the home page of the county medical services program,no i am looking for the home page of the county medical services program,no i just need the homepage of county medical services program sonoma california,no i am interested in the home page of the county medical services program,"i\'m looking for the home page of the county medical services program (cmsp) of sonoma county, california."
59,espn sports,i\'m looking for baseball scores and information on upcoming live broadcast games.,do you want to know when espn started,no i want baseball scores and upcoming live broadcast baseball games,no i want to know baseball scores and information on upcoming live broadcast games,no i want to know about upcoming live broadcast games,i\'m looking for baseball scores and information on upcoming live broadcast games.,no i want baseball scores and upcoming live broadcast baseball games,no i want to know baseball scores and information on upcoming live broadcast games,no i want to know about upcoming live broadcast games
60,forearm pain,find information about supports and braces for the forearm to prevent injury or lessen pain.,are you looking for a specific method to cure your forearm pain,yes supports and braces for the pain,no i want to know about the braces and supports for the forearm,no i am looking for support and braces for the forearm,no i am looking for support and braces for the forearm,no i want to know about the braces and supports for the forearm,yes supports and braces for the pain,find information about supports and braces for the forearm to prevent injury or lessen pain.
61,pacific northwest laboratory,types of research projects performed at pnl,do you need stock price values for the company,no i am interested in the types of research projects performed at pnl,no i need to know about the types of research projects performed at pnl,no i am looking for research projects performed at pnl,types of research projects performed at pnl,no i am interested in the types of research projects performed at pnl,no i am looking for research projects performed at pnl,no i need to know about the types of research projects performed at pnl
62,credit report,i need the customer service contact information for the three major credit reporting agencies.,do you want information on what is in a credt report,no i need the customer services information for all three major credit reporting agencies,no i want customer service contact information for the three major credit reporting agencies,no i want the customer service contact information for the three major credit reporting agencies,no i want the customer service contact information for the three major credit reporting agencies,no i want customer service contact information for the three major credit reporting agencies,no i need the customer services information for all three major credit reporting agencies,i need the customer service contact information for the three major credit reporting agencies.
63,djs,i want to hire a dj for a wedding.,do you want to know the price to hire a dj,i want one for a wedding,no i want to hire a dj for a wedding,no i want to hire a wedding dj,i want to hire a dj for a wedding.,i want one for a wedding,no i want to hire a dj for a wedding,no i want to hire a wedding dj
64,milwaukee journal sentinel,find archives of articles from the milwaukee journal sentinel.,which year archives are you looking for,i am unsure of the specific year,i am looking for archives of articles from the milwaukee journal sentinel,im looking for archives of articles from the milwaukee journal sentinel,i am looking for archives of articles from the milwaukee journal sentinel,find archives of articles from the milwaukee journal sentinel.,i am unsure of the specific year,im looking for archives of articles from the milwaukee journal sentinel
65,barbados,find the barbados underground homepage.,would you like to find a plane ticket to barbados,no i am looking for the website for the barbados underground,no i want to find the barbados underground homepage,no i want to find the barbados underground homepage,no i want to find the barbados underground homepage,no i am looking for the website for the barbados underground,no i want to find the barbados underground homepage,find the barbados underground homepage.
66,poem in your pocket day,find specific events in new york city connected to poem in your pocket day.,did you want the know what the reasoning for having poem in your pocket day is,yes i would like to know,no i want to know about specific events in new york city connected to poem in your pocket day,no i want to know about events in new york city connected to poem in your pocket day,no i want to know about specific events in new york city connected to poem in your pocket day,no i want to know about events in new york city connected to poem in your pocket day,yes i would like to know,find specific events in new york city connected to poem in your pocket day.
67,espn sports,i want to find nba basketball standings.,what sport are you interested in,i am into the nba please find me the leagues current standings,i want to find nba basketball standings,i want to find nba basketball standings,i want to find nba basketball standings,i want to find nba basketball standings.,i want to find nba basketball standings,i am into the nba please find me the leagues current standings
68,euclid,i\'m looking for a source for euclid truck parts.,do you want a biography,no i am looking for places that sell euclid truck parts,no i want to find a source for euclid truck parts,no i want a source for euclid truck parts,i\'m looking for a source for euclid truck parts.,no i am looking for places that sell euclid truck parts,no i want a source for euclid truck parts,no i want to find a source for euclid truck parts
69,culpeper national cemetery,what is the history of the culpeper national cemetery?,do you want to know the size of culpeper national cemetery,i want to know the history of culpeper national cemetery,no i want to know the history of the culpeper national cemetery,no i want to know the history of the culpeper national cemetery,what is the history of the culpeper national cemetery?,no i want to know the history of the culpeper national cemetery,i want to know the history of culpeper national cemetery,no i want to know the history of the culpeper national cemetery
70,403b,who is eligible for a 403b plan?,would you like to see alternative retirement accounts,no i want to know if i am eligible for a 403b plan,no i want to know who is eligible for a 403b plan,no i want to know who is eligible for a 403b plan,no i want to know who is eligible for a 403b plan,who is eligible for a 403b plan?,no i want to know who is eligible for a 403b plan,no i want to know if i am eligible for a 403b plan
71,idaho state flower,find pictures of the idaho state flower.,do you want to know when the idaho state flower was named,no i want a picture of the idaho sate flower,no i want pictures of the idaho state flower,no i want to see pictures of it,no i want pictures of the idaho state flower,no i want to see pictures of it,find pictures of the idaho state flower.,no i want a picture of the idaho sate flower
